ZIPCODE,meanScore,zipCount
10001,8.7007874015748,508
10002,10.8670886075949,474
10003,10.8577777777778,675
10004,8.99295774647887,142
10007,9.23021582733813,139
10009,10.625,312
10010,10.5447154471545,246
10011,10.6263498920086,463
10012,10.9900249376559,401
10013,11.0604166666667,480
10014,10.9852941176471,408
10016,11.1666666666667,414
10017,10.7313829787234,376
10018,11.3753753753754,333
10019,10.1469696969697,660
10021,11.8815789473684,152
10022,10.4713114754098,488
10023,9.96954314720812,197
10024,10.6287128712871,202
10025,10.9451476793249,237
10027,10.6993865030675,163
10028,10.8971962616822,214
10029,11.3502538071066,197
10032,12.3162393162393,117
10033,12.0,120
10034,11.1037735849057,106
10036,10.468802698145,593
10038,10.6904761904762,168
10065,9.97687861271676,173
10128,12.0125786163522,159
10301,9.72815533980583,103
10306,9.74774774774775,111
10314,11.227027027027,185
10451,8.78343949044586,157
10452,8.84158415841584,101
10455,11.08,100
10458,10.2908163265306,196
10461,9.98701298701299,154
10462,10.3243243243243,148
10463,10.6875,128
10467,10.4201183431953,169
10468,9.96261682242991,107
10472,9.74074074074074,108
11101,9.608,250
11103,10.3636363636364,209
11104,12.3771929824561,114
11105,10.0487804878049,123
11106,10.6794871794872,156
11201,9.81739130434783,345
11203,10.8581560283688,141
11204,10.650406504065,123
11205,11.6413793103448,145
11206,9.97402597402597,154
11207,9.625,136
11208,11.5086206896552,116
11209,9.65530303030303,264
11211,11.3753424657534,365
11214,11.3777777777778,180
11215,10.5268817204301,372
11216,11.5060240963855,166
11217,9.68897637795276,254
11218,9.80272108843537,147
11219,11.0857142857143,105
11220,12.1419558359621,317
11221,10.5585585585586,111
11222,9.99481865284974,193
11223,11.0486486486486,185
11225,10.1584158415842,101
11226,11.273631840796,201
11229,12.056338028169,142
11230,11.2058823529412,102
11231,9.66037735849057,159
11232,10.1792452830189,106
11234,9.39473684210526,152
11235,12.3522727272727,176
11236,9.24324324324324,111
11237,10.1117318435754,179
11238,9.60569105691057,246
11249,10.8258064516129,155
11354,11.9362880886427,361
11355,13.1319796954315,197
11358,10.6433566433566,143
11361,10.2857142857143,119
11368,9.97923875432526,289
11369,9.82692307692308,104
11372,11.9561128526646,319
11373,10.9733333333333,225
11375,11.0969387755102,196
11377,12.214953271028,214
11385,10.5515873015873,252
11430,9.24324324324324,148
11432,10.9148936170213,188
11435,10.5283018867925,106
